stein_lam_abs,_timestamp,corrector_loss,_step,energy_w2,stein_var_ratio,_runtime,adjoint_buffer_size,stein_score_loss,dist_w2,adjoint_loss,stein_bias_z,eq_w2,stein_active,stein_tau_mean,corrector_buffer_size
0.0,1790066242.9548285,,0,,1.0,7.571932982,512.0,-2.8259670734405518,,1548.4296875,0.0,,0.0,0.0,
0.0,1790066245.5706096,,1,,1.0,10.195874863,1024.0,-2.6559150218963623,,656.87890625,0.0,,0.0,0.0,
0.0,1790066248.1945333,,2,,1.0,12.977663405,1536.0,-3.857687473297119,,408.0371398925781,0.0,,0.0,0.0,
0.0,1790066250.9762506,,3,,1.0,15.593202598,2048.0,-5.353237152099609,,308.181884765625,0.0,,0.0,0.0,
0.0,1790066253.591936,,4,,1.0,18.228139424,2560.0,-6.371374130249023,,249.19593811035156,0.0,,0.0,0.0,
0.0,1790066256.2267299,,5,,1.0,20.871828791,3072.0,-6.7490925788879395,,209.38113403320312,0.0,,0.0,0.0,
0.0,1790066258.8705392,,6,,1.0,23.496201337,3584.0,-6.518664360046387,,178.2394561767578,0.0,,0.0,0.0,
0.0,1790066261.4949396,,7,,1.0,26.105969488,4096.0,-6.687987804412842,,154.7028350830078,0.0,,0.0,0.0,
0.0,1790066264.1046777,,8,,1.0,28.71897825,4608.0,-6.464837551116943,,137.35293579101562,0.0,,0.0,0.0,
0.0,1790066266.717692,,9,,1.0,31.332253293,5120.0,-6.285096645355225,,123.90580749511719,0.0,,0.0,0.0,
0.0,1790066269.330686,,10,,1.0,34.185913133,5632.0,-6.167590141296387,,113.88944244384766,0.0,,0.0,0.0,
0.0,1790066272.1844409,,11,,1.0,36.809943264,6144.0,-5.970177173614502,,104.15869903564453,0.0,,0.0,0.0,
0.0,1790066274.8085225,,12,,1.0,39.429041472,6656.0,-5.847525596618652,,95.36199188232422,0.0,,0.0,0.0,
0.0,1790066277.4277267,,13,,1.0,42.053615883,7168.0,-5.837639331817627,,90.08601379394531,0.0,,0.0,0.0,
0.0,1790066280.0521305,,14,,1.0,44.682994091,7680.0,-5.800934314727783,,85.89987182617188,0.0,,0.0,0.0,
0.0,1790066282.6816113,,15,,1.0,47.31868929,8192.0,-5.778403282165527,,80.38501739501953,0.0,,0.0,0.0,
0.0,1790066285.317367,,16,,1.0,49.953932212,8704.0,-5.787636756896973,,74.71966552734375,0.0,,0.0,0.0,
0.0,1790066287.952507,,17,,1.0,52.771416756,9216.0,-5.868743419647217,,70.51004791259766,0.0,,0.0,0.0,
0.0,1790066290.770052,,18,,1.0,55.401289987,9728.0,-5.882117748260498,,67.75463104248047,0.0,,0.0,0.0,
0.0,1790066293.3999243,,19,,1.0,58.018634766,10000.0,-6.086225986480713,,39.422698974609375,0.0,,0.0,0.0,
0.0,1790066296.0172403,,20,,1.0,60.653355819,10000.0,-6.211371421813965,,10.415485382080078,0.0,,0.0,0.0,
0.0,1790066298.6520894,,21,,1.0,63.290679786,10000.0,-6.230065822601318,,9.452336311340332,0.0,,0.0,0.0,
0.0,1790066301.2893724,,22,,1.0,65.936800185,10000.0,-6.317871570587158,,9.327345848083496,0.0,,0.0,0.0,
0.0,1790066303.9355018,,23,,1.0,68.569620133,10000.0,-6.466203689575195,,8.852112770080566,0.0,,0.0,0.0,
0.0,1790066306.5683036,,24,,1.0,71.40193676,10000.0,-6.707059860229492,,8.399116516113281,0.0,,0.0,0.0,
0.0,1790066309.4006128,,25,,1.0,74.022825243,10000.0,-6.932231426239014,,7.968255519866943,0.0,,0.0,0.0,
0.0,1790066312.0214887,,26,,1.0,76.652586578,10000.0,-7.172285079956055,,8.05291748046875,0.0,,0.0,0.0,
0.0,1790066314.651323,,27,,1.0,79.26104376,10000.0,-7.453861713409424,,7.980828762054443,0.0,,0.0,0.0,
0.0,1790066317.2597673,,28,,1.0,81.872330823,10000.0,-7.76854133605957,,7.984464645385742,0.0,,0.0,0.0,
0.0,1790066319.871022,,29,,1.0,84.481629197,10000.0,-8.10754108428955,,7.62371826171875,0.0,,0.0,0.0,
0.0,1790066322.4803534,,30,,1.0,87.107953521,10000.0,-8.458617210388184,,7.4046101570129395,0.0,,0.0,0.0,
0.0,1790066325.1067026,,31,,1.0,89.849365404,10000.0,-8.77692699432373,,7.0989155769348145,0.0,,0.0,0.0,
0.0,1790066327.8480654,,32,,1.0,92.463303402,10000.0,-9.212360382080078,,6.9856648445129395,0.0,,0.0,0.0,
0.0,1790066330.461916,,33,,1.0,95.098085538,10000.0,-9.442668914794922,,6.7631516456604,0.0,,0.0,0.0,
0.0,1790066333.0967977,,34,,1.0,97.711961665,10000.0,-9.723984718322754,,6.818509101867676,0.0,,0.0,0.0,
0.0,1790066335.710583,,35,,1.0,100.343886892,10000.0,-9.938823699951172,,6.861584663391113,0.0,,0.0,0.0,
0.0,1790066338.3425317,,36,,1.0,102.975578462,10000.0,-10.242104530334473,,7.022839546203613,0.0,,0.0,0.0,
0.0,1790066340.9742486,,37,,1.0,105.580371953,10000.0,-10.469653129577637,,6.9377641677856445,0.0,,0.0,0.0,
0.0,1790066343.5791478,,38,,1.0,108.354129649,10000.0,-10.75561809539795,,6.902289390563965,0.0,,0.0,0.0,
0.0,1790066346.35276,,39,,1.0,110.97035643,10000.0,-11.056312561035156,,6.77151346206665,0.0,,0.0,0.0,
0.0,1790066348.969041,,40,,1.0,113.58533833,10000.0,-11.497222900390625,,6.7053985595703125,0.0,,0.0,0.0,
0.0,1790066351.5839815,,41,,1.0,116.219834691,10000.0,-11.87177848815918,,6.582971096038818,0.0,,0.0,0.0,
0.0,1790066354.2185273,,42,,1.0,118.839086594,10000.0,-12.296740531921387,,6.611199855804443,0.0,,0.0,0.0,
